,DISTRICT, GROSS EXTENT SOWN (Hectares.) MAJOR SCHEMES, GROSS EXTENT SOWN (Hectares.) MINOR SCHEMES, GROSS EXTENT SOWN (Hectares.) RAIN FED, GROSS EXTENT SOWN (Hectares.) ALL SCHEMES, GROSS EXTENT HARVESTED (Hectares.) MAJOR SCHEMES, GROSS EXTENT HARVESTED (Hectares.) MINOR SCHEMES, GROSS EXTENT HARVESTED (Hectares.) RAIN FED, GROSS EXTENT HARVESTED (Hectares.) ALL SCHEMES,AVERAGE YIELD PER NETT HECTARE (Kg.) MAJOR SCHEMES,AVERAGE YIELD PER NETT HECTARE (Kg.) MINOR SCHEMES,AVERAGE YIELD PER NETT HECTARE (Kg.) RAIN FED,AVERAGE YIELD PER NETT HECTARE (Kg.) AVERAGE YIELD,NETT EXTENT HARVESTED (Hectares),TOTAL PRODUCTION (MT.)
01' ,COLOMBO,118.9777143,1010.096514,3634.890579,4763.964807,118.9777143,1010.096514,3633.676521,4762.750749,3465.8632,3352.4312,3548.8748,3505.13883,4048.338136,14189.9872
02' ,GAMPAHA,1825.539012,3116.487681,7591.911296,12533.93799,1822.301523,3097.467434,7544.563022,12464.33198,3506.08,3454.52,3435.9584,3450.822947,10594.68218,36560.37239
03' ,KALUTARA,133.141728,2206.348635,13029.67846,15369.16883,133.141728,2193.803365,12962.50057,15289.44567,3425.1308,3373.0552,3177.6428,3207.836659,14104.51363,45244.97586
04' ,GALLE,0,150.9479165,17004.91006,17155.85797,0,150.9479165,16991.15073,17142.09865,0,4356.3044,3276.1224,3285.634142,13415.4064,44078.1173
05' ,MATARA,3702.877844,3302.643288,8902.284898,15907.80603,3653.101454,3297.787055,8860.60223,15811.49074,3993.322,3603.5284,3510.2048,3641.289056,12483.17194,45454.83737
06',RATNAPURA,2101.534934,7171.037749,4212.782334,13485.35502,2101.534934,7171.037749,4212.782334,13485.35502,4559.4508,3123.5048,3030.1812,3318.1262,11462.55176,38034.19332
07' ,KEGALLE,0,2705.731286,5630.80244,8336.533726,0,2703.707855,5627.564951,8331.272807,0,3804.0968,3785.0196,3791.210632,7804.736365,29589.39949
08' ,KURUNEGALA,11735.08762,28539.67806,28483.42669,68758.19236,11735.08762,28190.02926,28097.76083,68022.87771,4838.3904,4025.8048,3704.0704,4033.092745,68022.87771,274342.5746
09' ,PUTTALAM,3984.134686,8380.239825,2050.949171,14415.32368,3945.28482,8299.302604,1991.055628,14235.64305,4456.3308,3865.9688,3461.7384,3973.045173,12100.29659,48075.02498
10' ,KANDY,4138.320091,5753.827015,3945.28482,13837.43193,4138.320091,5751.398899,3936.381726,13826.10072,4314.0252,3108.5524,3111.646,3470.245838,10933.68045,37942.55906
11' ,MATALE,6374.615498,9025.309474,4847.73483,20247.6598,6294.082963,8962.178441,4831.547386,20087.80879,5034.3184,4045.9132,4619.2604,4493.510974,18064.96645,81175.12496
12' ,NUWARAELIYA ,1118.552389,4265.391528,202.3430516,5586.286969,1118.552389,4262.558725,202.3430516,5583.454166,4216.5768,4113.4568,4113.4568,4134.115181,3146.276422,13007.06912
13' ,BADULLA,10902.56737,10301.81085,5818.779135,27023.15735,10897.38739,10288.73949,5801.984662,26988.11154,5081.238,4069.1152,3356.0404,4324.495988,22939.89481,99203.48305
14' ,MONARAGALA ,9659.452597,8405.73505,9294.425732,27359.61338,9659.452597,8405.73505,9294.425732,27359.61338,5217.872,4158.8296,3807.1904,4413.273453,26812.42111,118330.5463
15' ,JAFFNA,0,0,8948.419114,8948.419114,0,0,8702.774649,8702.774649,0,0,2604.8112,2604.8112,7722.842224,20116.54592
16' ,KILLINOCHCHI,,0,0,0,0,0,0,0,0,0,0,0,0,0
17',VAVUNIYA ,1634.122485,2868.415099,327.7957436,4830.333328,1633.313113,2868.415099,327.7957436,4829.523956,5274.588,5362.24,5872.684,5367.242193,4556.655852,24456.67555
18' ,MULATIVU ,882.6203911,1297.828333,0,2180.448724,846.1986418,1297.828333,0,2144.026975,5315.836,5315.836,0,5315.836,2022.889451,10753.34857
19' ,MANNAR ,7411.82598,681.4913978,0,8093.317378,7411.82598,681.4913978,0,8093.317378,5403.488,5403.488,0,5403.488,7727.499432,41755.45045
20',ANURADHAPURA,29893.75776,43667.24928,7901.496165,81462.5032,29874.33282,43357.66441,7831.080783,81063.07802,5357.084,4786.3148,4030.4452,4923.64086,65182.82103,320936.801
21' ,POLONNARUWA,55803.78551,2882.579113,1625.624077,60311.9887,55799.73865,2875.699449,1625.21939,60300.65749,5413.8,4681.1324,3820.0804,5335.905728,53341.96162,284627.6785
22' ,TRINCOMALEE ,15252.61923,4759.108574,6523.539984,26535.26779,15238.45522,4759.108574,6523.539984,26521.10377,4594.5116,4340.3208,3711.8044,4331.773767,24638.10541,106726.6987
23' ,BATTICALOA,21618.73632,2464.943055,30771.11723,54854.7966,21095.47719,2462.514938,30771.11723,54329.10935,4233.076,4103.6604,3886.0772,4030.67569,47950.87192,193274.4137
24' ,AMPARA,59285.30006,2300.640497,8274.616752,69860.55731,59265.06576,2300.640497,8274.616752,69840.323,5563.324,4490.3604,4210.3896,5367.684625,66746.3967,358273.6073
25' ,HAMBANTOTA,19724.40067,4773.677273,1600.128852,26098.2068,19640.63065,4772.058529,1598.914794,26011.60397,5465.36,4400.646,4051.5848,5183.125055,22726.33839,117793.4539
26',UDA WALAWE,13068.12364,0,0,13068.12364,13068.12364,0,0,13068.12364,6274.852,0,0,6274.852,12806.76117,80360.53095
27' ,MAHAWELI 'H',25012.43398,0,0,25012.43398,25012.43398,0,0,25012.43398,6475.936,0,0,6475.936,22431.15079,145262.6969
, SRI LANKA,305382.5275,160031.2175,180622.9414,646036.6864,304502.8209,159160.2116,179643.3987,643306.4312,5324.922188,4208.466346,3615.735252,4582.817473,573788.1079,2629566.167
